Year;Temp[C];Rain[mm];M;Month
1877;-1.5;84.1;1;Jan
1878;-5.9;25.7;1;Jan
1879;-5.9;206.2;1;Jan
1880;-7.1;96.0;1;Jan
1881;-4.6;173.0;1;Jan
1882;-3.9;72.1;1;Jan
1883;-5.7;57.8;1;Jan
1884;-5.7;63.7;1;Jan
1885;-7.6;69.9;1;Jan
1886;-6.4;80.9;1;Jan
1887;-6.1;107.2;1;Jan
1888;-5.5;70.3;1;Jan
1889;-7.8;74.5;1;Jan
1890;-7.0;28.6;1;Jan
1891;-7.6;66.1;1;Jan
1892;-7.0;61.0;1;Jan
1893;-7.2;66.6;1;Jan
1894;-7.0;29.3;1;Jan
1895;-8.9;66.8;1;Jan
1896;-5.9;78.7;1;Jan
1897;-6.4;41.4;1;Jan
1898;-5.6;48.0;1;Jan
1899;-4.9;63.5;1;Jan
1900;-7.6;74.6;1;Jan
1901;-5.4;108.0;1;Jan
1902;-7.5;60.5;1;Jan
1903;-2.7;93.8;1;Jan
1904;-7.6;83.0;1;Jan
1905;-3.3;62.6;1;Jan
1906;-7.1;82.0;1;Jan
1907;-5.4;75.2;1;Jan
1908;-8.5;98.3;1;Jan
1909;-9.4;44.1;1;Jan
1910;-4.9;56.8;1;Jan
1911;-6.4;56.1;1;Jan
1912;-5.7;81.0;1;Jan
1913;-8.7;54.1;1;Jan
1914;-3.3;182.2;1;Jan
1915;-6.9;100.5;1;Jan
1916;-3.8;61.9;1;Jan
1917;-6.6;142.6;1;Jan
1918;-6.0;207.4;1;Jan
1919;-7.0;80.3;1;Jan
1920;-2.0;187.4;1;Jan
1921;-6.1;93.2;1;Jan
1922;-10.2;101.8;1;Jan
1923;-7.1;81.0;1;Jan
1924;-6.3;64.5;1;Jan
1925;-5.4;76.1;1;Jan
1926;-6.2;125.8;1;Jan
1927;-5.8;62.0;1;Jan
1928;-5.2;121.6;1;Jan
1929;-7.0;223.9;1;Jan
1930;-7.2;89.0;1;Jan
1931;-7.7;98.5;1;Jan
1932;-2.5;43.8;1;Jan
1933;-6.8;67.3;1;Jan
1934;-4.9;55.4;1;Jan
1935;-5.4;78.2;1;Jan
1936;-6.0;113.0;1;Jan
1937;-5.4;58.7;1;Jan
1938;-5.9;64.3;1;Jan
1939;-7.8;159.4;1;Jan
1940;-7.3;93.0;1;Jan
1941;-5.4;121.4;1;Jan
1942;-7.1;72.4;1;Jan
1943;-5.6;75.8;1;Jan
1944;-6.4;182.6;1;Jan
1945;-8.8;119.7;1;Jan
1946;-5.3;222.4;1;Jan
1947;-4.4;73.3;1;Jan
1948;-2.4;122.7;1;Jan
1949;-1.9;127.1;1;Jan
1950;-4.8;115.4;1;Jan
1951;-6.3;111.1;1;Jan
1952;-4.8;98.0;1;Jan
1953;-6.6;107.2;1;Jan
1954;-5.4;178.1;1;Jan
1955;-5.8;188.7;1;Jan
1956;-5.2;94.6;1;Jan
1957;-4.2;96.2;1;Jan
1958;-3.8;190.0;1;Jan
1959;-5.4;98.6;1;Jan
1960;-6.2;111.3;1;Jan
1961;-6.2;72.4;1;Jan
1962;-3.6;135.3;1;Jan
1963;-4.7;68.2;1;Jan
1964;-3.8;98.1;1;Jan
1965;-2.8;105.2;1;Jan
1966;-4.7;181.0;1;Jan
1967;-6.3;96.4;1;Jan
1968;-3.4;103.0;1;Jan
1969;-5.5;69.5;1;Jan
1970;-5.9;106.0;1;Jan
1971;-5.0;108.5;1;Jan
1972;-3.9;148.5;1;Jan
1973;-2.7;87.5;1;Jan
1974;-3.3;99.0;1;Jan
1975;-4.2;85.0;1;Jan
1976;-4.1;109.0;1;Jan
1977;-7.5;94.0;1;Jan
1978;-5.2;168.0;1;Jan
1979;-5.3;103.5;1;Jan
1980;-3.9;97.0;1;Jan
1981;-4.9;162.0;1;Jan
1982;-4.4;122.0;1;Jan
1983;-2.9;64.0;1;Jan
1984;-4.7;70.5;1;Jan
1985;-6.9;156.5;1;Jan
1986;-5.8;121.0;1;Jan
1987;-4.9;119.0;1;Jan
1988;-3.8;76.0;1;Jan
1989;-1.9;60.0;1;Jan
1990;-4.9;138.0;1;Jan
1991;-1.2;182.0;1;Jan
1992;-2.4;68.5;1;Jan
1993;-1.7;98.0;1;Jan
1994;-4.7;77.5;1;Jan
1995;-3.3;124.0;1;Jan
1996;-3.7;157.0;1;Jan
1997;-2.5;49.5;1;Jan
1998;-5.9;108.5;1;Jan
1999;-3.2;135.0;1;Jan
2000;-3.1;131.5;1;Jan
2001;-5.7;71.0;1;Jan
2002;-2.5;150.0;1;Jan
2003;-3.6;104.0;1;Jan
2004;-2.5;139.0;1;Jan
2005;-3.5;153.5;1;Jan
2006;-4.1;132.0;1;Jan
2007;-1.8;112.0;1;Jan
2008;-4.3;111.0;1;Jan
2009;-1.3;103.0;1;Jan
2010;-2.0;112.0;1;Jan
2011;-3.8;120.0;1;Jan
2012;-4.5;71.5;1;Jan
2013;-4.7;101.5;1;Jan
2014;-4.1;111.5;1;Jan
2015;-1.5;143.5;1;Jan
2016;-3.5;74.0;1;Jan
2017;-3.9;72.5;1;Jan
2018;-2.6;99.5;1;Jan
2019;-3.0;86.0;1;Jan
2020;-2.3;51.5;1;Jan
1877;-2.2;126.2;2;Feb
1878;-3.8;76.6;2;Feb
1879;-4.8;103.9;2;Feb
1880;-4.1;66.7;2;Feb
1881;-4.8;81.2;2;Feb
1882;-3.0;50.8;2;Feb
1883;-6.6;24.6;2;Feb
1884;-5.4;76.6;2;Feb
1885;-5.9;20.1;2;Feb
1886;-4.6;51.7;2;Feb
1887;-4.0;28.1;2;Feb
1888;-65;59.4;2;Feb
1889;-5.4;127.2;2;Feb
1890;-3.5;74.4;2;Feb
1891;-4.9;55.4;2;Feb
1892;-5.9;32.6;2;Feb
1893;-7.6;53.2;2;Feb
1894;-4.7;49.0;2;Feb
1895;-4.9;97.1;2;Feb
1896;-5.8;60.6;2;Feb
1897;-5.4;61.9;2;Feb
1898;-6.0;44.1;2;Feb
1899;-4.5;36.4;2;Feb
