,frame.number,frame.len,frame.time,node.src,node.dst,srcport,dstport
0,5,54,"Jun  4, 2023 11:23:38.842873000 EDT",K,H,38418,80
1,246,66,"Jun  4, 2023 11:24:48.507495000 EDT",A,H,80,38455
2,493,74,"Jun  4, 2023 11:25:32.815617000 EDT",A,E,443,43746
3,723,54,"Jun  4, 2023 11:25:32.823129000 EDT",C,D,34838,41150
4,941,54,"Jun  4, 2023 11:25:32.830530000 EDT",K,C,12925,38650
5,1137,54,"Jun  4, 2023 11:25:32.835799000 EDT",C,D,29773,51600
6,1270,74,"Jun  4, 2023 11:25:32.839307000 EDT",G,E,43642,35368
7,1312,54,"Jun  4, 2023 11:25:32.839985000 EDT",C,E,44744,36950
8,2062,74,"Jun  4, 2023 11:25:32.858430000 EDT",D,K,51234,23097
9,2169,54,"Jun  4, 2023 11:25:32.860818000 EDT",K,D,16324,43472
10,2353,54,"Jun  4, 2023 11:25:32.865430000 EDT",A,C,9033,56200
11,2486,54,"Jun  4, 2023 11:25:32.869060000 EDT",I,H,50636,47992
12,3435,74,"Jun  4, 2023 11:25:32.893179000 EDT",F,C,57346,33006
13,3893,74,"Jun  4, 2023 11:25:32.904589000 EDT",I,B,58716,20331
14,3971,74,"Jun  4, 2023 11:25:32.906960000 EDT",C,I,37646,42320
15,4138,54,"Jun  4, 2023 11:25:32.911236000 EDT",B,K,33273,46766
16,4345,74,"Jun  4, 2023 11:25:32.916547000 EDT",H,B,57308,6791
17,4474,74,"Jun  4, 2023 11:25:32.919564000 EDT",J,I,60492,57672
18,4649,54,"Jun  4, 2023 11:25:32.924152000 EDT",H,I,45271,41932
19,4709,74,"Jun  4, 2023 11:25:32.925581000 EDT",G,K,58820,9888
20,4782,54,"Jun  4, 2023 11:25:32.927281000 EDT",E,D,51285,57138
21,5111,74,"Jun  4, 2023 11:25:32.935017000 EDT",J,D,34080,42803
22,5256,54,"Jun  4, 2023 11:25:32.937750000 EDT",E,I,45779,57738
23,5338,74,"Jun  4, 2023 11:25:32.938996000 EDT",K,B,52732,10000
24,5523,74,"Jun  4, 2023 11:25:32.941699000 EDT",K,J,56720,53346
25,5565,74,"Jun  4, 2023 11:25:32.942338000 EDT",G,K,51380,13233
26,6309,74,"Jun  4, 2023 11:25:32.954161000 EDT",K,C,33636,57659
27,6316,54,"Jun  4, 2023 11:25:32.954182000 EDT",B,H,18827,59888
28,6434,74,"Jun  4, 2023 11:25:32.955878000 EDT",B,J,42318,28926
29,6527,74,"Jun  4, 2023 11:25:32.957186000 EDT",A,J,54120,51041
30,7641,74,"Jun  4, 2023 11:25:32.974251000 EDT",G,I,37220,1423
31,7645,54,"Jun  4, 2023 11:25:32.974274000 EDT",F,D,56102,36594
32,7695,74,"Jun  4, 2023 11:25:32.974882000 EDT",B,E,36220,38035
33,7753,74,"Jun  4, 2023 11:25:32.975724000 EDT",B,E,50976,51516
34,7814,74,"Jun  4, 2023 11:25:32.976713000 EDT",K,J,52392,29816
35,7854,74,"Jun  4, 2023 11:25:32.977542000 EDT",G,H,52428,44723
36,8568,74,"Jun  4, 2023 11:25:32.989727000 EDT",I,H,57252,22815
37,8860,74,"Jun  4, 2023 11:25:32.993185000 EDT",A,B,55046,3637
38,9224,54,"Jun  4, 2023 11:25:32.998758000 EDT",K,H,61083,41872
39,9418,54,"Jun  4, 2023 11:25:33.002224000 EDT",F,H,28034,60936
40,9453,54,"Jun  4, 2023 11:25:33.002871000 EDT",D,H,60910,48568
