bookID,title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
12582,Essential Welty: Why I Live at the P.O.  A Memory  Powerhouse and Petrified Man,Eudora Welty,3.94,eng,1,92,28,6/27/2006,Caedmon
15330,The Return of the King (The Lord of the Rings  #3),Brian Sibley,4.35,eng,1,17,3,03/04/2002,BBC Audiobooks Ltd
17872,Lobsters,Charles Stross,3.83,eng,1,158,5,08/11/2005,AudioText
17873,Antibodies,Charles Stross,3.46,eng,1,67,4,08/11/2005,AudioText
20971,Meditations for Manifesting: Morning and Evening Meditations to Literally Create Your Heart's Desire,Wayne W. Dyer,4.02,eng,1,338,12,06/01/1995,Hay House
21545,The Best American Mystery Stories 2003,Michael Connelly,3.6,eng,1,5,2,11/04/2003,Mariner Books
21703,The Best American Mystery Stories 2002,James Ellroy,3.58,eng,1,0,0,10/15/2002,Mariner Books
22337,The Neil Gaiman Audio Collection,Neil Gaiman,4.24,eng,1,1666,208,8/31/2004,HarperFestival
32668,LT's Theory of Pets,Stephen King,3.69,eng,1,2824,140,08/01/2001,Simon  Schuster Audio
35218,There Was a Cold Lady Who Swallowed Some Snow!,Lucille Colandro,3.85,eng,1,14,1,8/13/2006,Scholastic Audio Books
44528,Matilda,Roald Dahl,4.31,eng,1,6,0,03/03/2005,Puffin Audiobooks
1281,Men Are from Mars  Women Are from Venus,John Gray,3.55,eng,2,43,3,04/03/2007,HarperAudio
2059,The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,4.22,eng,2,10,2,9/20/2004,BBC Worldwide
10581,The Mist,Stephen King,3.95,eng,2,168,10,09/01/1993,Simon & Schuster Audio
16357,Hercule Poirot's Christmas: A BBC Radio 4 Full-Cast Dramatisation,Agatha Christie,3.94,eng,2,52,8,11/05/2001,BBC Audiobooks
16414,Joy in the Morning,P.G. Wodehouse,4.34,eng,2,49,7,04/06/1998,BBC Audiobooks
19786,The Goon Show  Volume 4: My Knees Have Fallen Off!,NOT A BOOK,5,eng,2,3,0,04/01/1996,BBC Physical Audio
19787,The Goon Show: Moriarty Where Are You?,NOT A BOOK,4.43,eng,2,0,0,3/30/2005,BBC Physical Audio
19788,The Goon Show  Volume 11: He's Fallen in the Water!,NOT A BOOK,5,eng,2,2,0,10/02/1995,BBC Physical Audio
20468,Cover Her Face (Adam Dalgliesh #1),P.D. James,3.93,eng,2,17,4,05/07/2002,BBC Physical Audio
23512,Astronomy Today,Eric Chaisson,3.99,eng,2,128,4,7/26/2004,Prentice Hall
31305,A Pocket Full of Rye: A BBC Radio 4 Full-Cast Dramatisation,Agatha Christie,3.86,eng,2,38,3,04/01/2014,Blackstone Audiobooks
32714,The Monkey,Stephen King,3.77,eng,2,801,44,10/28/1989,Random House Audio
32961,The House on Mango Street,Sandra Cisneros,3.63,eng,2,108,21,8/30/2005,Random House Audio
42606,As You Like It,William Shakespeare,3.83,eng,2,28,6,09/06/2005,The Audio Partners
44231,The Silver Pigs,Lindsey Davis,3.94,eng,2,5,0,02/07/2005,BBC Audiobooks
2166,The Old Man and the Sea,Ernest Hemingway,3.77,eng,3,393,77,05/01/2006,Simon  Schuster Audio
5545,The Feynman Lectures on Physics  3 Vols,Richard P. Feynman,4.6,eng,3,78,7,01/01/1989,Addison Wesley Publishing Company
7010,A Midsummer Night's Dream,William Shakespeare,3.94,eng,3,62,6,05/03/2005,AudioGO
7741,Gulliver's Travels,Jonathan Swift,3.57,eng,3,8,0,01/01/2001,Hodder Audio
8228,The First Four Years (Little House  #9),Laura Ingalls Wilder,3.89,eng,3,91,13,6/13/2006,HarperFestival
12999,Othello,William Shakespeare,3.89,eng,3,48,3,9/15/2005,Audio Partners
13008,Julius Caesar,William Shakespeare,3.68,eng,3,53,3,06/01/2005,Audio Partners
13382,Vinyl Cafe Odd Jobs,Stuart McLean,4.56,eng,3,61,1,6/15/2005,Canadian Broadcasting Corporation (CBC Audio)
13383,Vinyl Cafe Coast to Coast Story Service,Stuart McLean,4.45,eng,3,51,1,7/15/2005,Canadian Broadcasting Corporation (CBC Audio)
14098,Mindfulness for Beginners,Jon Kabat-Zinn,3.82,eng,3,2913,245,07/01/2006,Sounds True
18140,Romeo and Juliet,William Shakespeare,3.74,eng,3,18,0,10/23/1997,Naxos Audiobooks
21742,Tripwire (Jack Reacher  #3),Lee Child,4.09,eng,3,16,3,07/08/1999,Nova Audio Books
21743,Killing Floor (Jack Reacher  #1),Lee Child,4.05,eng,3,124,27,04/10/2004,Brilliance Audio
28074,Barrel Fever and Other Stories,David Sedaris,3.79,eng,3,183,47,10/01/2001,Grand Central Publishing
30523,Jean-Paul Sartre: (The Giants of Philosophy),John  Compton,3.86,eng,3,57,4,04/01/2006,Knowledge Products
31218,The Hitchhiker's Guide to the Galaxy: The Quintessential Phase (Hitchhiker's Guide: Radio Play  #5),Douglas Adams,4.37,eng,3,61,1,6/20/2005,BBC Audiobooks
31318,4:50 from Paddington / A Pocket Full of Rye (BBC Presents: Two Miss Marple Dramas),Agatha Christie,3.94,eng,3,34,3,05/04/1999,Random House Audio
42891,Journeys in English,Bill Bryson,3.72,eng,3,510,60,02/02/2004,BBC Physical Audio
44621,Naked,David Sedaris,4.09,eng,3,308,62,10/01/2001,Grand Central Publishing
1053,The Richest Man in Babylon,George S. Clason,4.26,eng,4,86,15,6/17/2005,Recorded Books  Inc.
4651,The Ernest Hemingway Audio Collection,Ernest Hemingway,4.3,eng,4,43,6,05/08/2001,Caedmon
4675,The Great Gatsby,F. Scott Fitzgerald,3.91,eng,4,63,13,3/13/2002,Audio Partners
5065,Whiteout,Ken Follett,3.58,eng,4,13,1,09/01/2006,MacMillan Audio
14367,Island of the Blue Dolphins,Scott O'Dell,3.83,eng,4,205,49,05/10/2005,Listening Library (Audio)
21581,Chance (Spenser  #23),Robert B. Parker,4.1,eng,4,13,2,04/01/1996,Audio Literature
21930,Black Light (Bob Lee Swagger  #2),Stephen Hunter,4.13,eng,4,17,0,05/01/1996,Random House Audio Publishing Group
32667,Blood and Smoke,Stephen King,3.92,eng,4,6221,155,01/01/2000,Simon & Schuster Audio
44529,The Adventures of Charlie and Mr. Willy Wonka: A Fully Dramatized Recording,Roald Dahl,4.13,eng,4,11,2,11/25/2004,Puffin
44531,Fantastic Mr Fox and Other Animal Stories,Roald Dahl,3.95,eng,4,25,1,11/25/2004,Puffin
45161,The Roald Dahl Audio Collection,Roald Dahl,4.41,eng,4,199,36,2/20/2007,HarperCollins Publishers
1090,Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,3.93,eng,5,26,2,3/15/2005,Zondervan
4382,Fahrenheit 451,Ray Bradbury,3.99,eng,5,483,146,11/01/2005,Blackstone Audiobooks
8922,The Hound of the Baskervilles (Sherlock Holmes  #5),Arthur Conan Doyle,4.11,eng,5,135,20,3/30/2005,Naxos Audiobooks
10172,Wigfield: The Can-Do Town That Just May Not,Amy Sedaris,3.58,eng,5,81,19,5/19/2004,Highbridge Audio
10537,The Art of War,Sun Tzu,3.97,eng,5,72,22,06/01/2003,Recorded Books  Inc.
15137,The Time Traveler's Wife,Audrey Niffenegger,3.97,eng,5,17,0,08/01/2005,BBC Audiobooks
15186,American Film Guide,Frank N. Magill,0,eng,5,0,0,01/01/1983,Salem Press Inc
21426,2nd Chance (Women's Murder Club #2),James Patterson,4.04,eng,5,28,4,2/27/2006,Little  Brown & Company
21753,Echo Burning (Jack Reacher  #5),Lee Child,4.01,eng,5,40,14,2/28/2007,Brilliance Audio
23922,The Edgar Allan Poe Audio Collection,Edgar Allan Poe,4.39,eng,5,289,64,10/01/2000,Harper Audio
24591,The Short Stories  Vol 3,Ernest Hemingway,3.77,eng,5,80,6,03/01/2003,Simon  Schuster Audio
37675,The Call of the Wild and Three Other Klondike Stories,Jack London,3.81,eng,5,33,1,09/01/2001,Brilliance Audio
38678,Peter Pan,J.M. Barrie,4.08,eng,5,46,7,10/05/2006,Simon  Schuster Audio
40338,Love Overboard,Janet Evanovich,3.65,eng,5,95,22,1/25/2005,HarperAudio
40339,The Rocky Road to Romance (Elsie Hawkins  #4),Janet Evanovich,3.67,eng,5,93,26,8/31/2004,HarperAudio
44520,Matilda,Roald Dahl,4.31,eng,5,56,18,1/20/2004,Festival Books
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,eng,6,1266,253,3/23/2005,Random House Audio
524,Lord of the Flies,William Golding,3.68,eng,6,408,96,10/11/2005,Listening Library (Audio)
2326,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,3.98,eng,6,58,15,9/30/2005,Phoenix Audio
2389,Moby Dick,Herman Melville,3.5,eng,6,8858,885,6/16/2005,Penguin Audio
3585,Sherlock Holmes: A Baker Street Dozen,Arthur Conan Doyle,3.96,eng,6,18,4,4/20/2006,HighBridge Company
4674,The Great Gatsby,F. Scott Fitzgerald,3.91,eng,6,258,58,10/01/2002,Caedmon
8703,The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy  #2),Douglas Adams,4.22,eng,6,493,95,06/01/2006,Random House Audio Publishing Group
