Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
Alabama,US,25/04/2020 06:32,32.3182,-86.9023,6026,209,0,5817,128.5163654,52889,769,3.468304016,1127.962504,12.76136741
Alaska,US,25/04/2020 06:32,61.3707,-152.4044,339,9,208,122,56.7127674,12281,36,2.654867257,2054.541287,10.61946903
Arizona,US,25/04/2020 06:32,33.7298,-111.4312,6045,266,1313,4466,83.05035077,60714,984,4.400330852,834.1305205,16.27791563
Arkansas,US,25/04/2020 06:32,34.9697,-92.3731,2810,47,929,1834,108.5349824,35578,291,1.672597865,1374.184201,10.35587189
California,US,25/04/2020 06:32,36.1162,-119.6816,41355,1621,0,39734,105.4742554,494173,4880,3.919719502,1260.368256,11.80026599
Colorado,US,25/04/2020 06:32,39.0598,-105.3111,12256,674,0,11582,216.2767679,56789,2366,5.499347258,1002.132945,19.30483029
Connecticut,US,25/04/2020 06:32,41.5978,-72.7554,23936,1767,0,22169,671.3625018,74038,1877,7.382185829,2076.635065,7.841744652
Delaware,US,25/04/2020 06:32,39.3185,-75.5071,3442,100,703,2639,353.473737,17379,277,2.905287623,1784.724019,8.047646717
District of Columbia,US,25/04/2020 06:32,38.8974,-77.0268,3528,153,651,2724,499.8944384,16533,402,4.336734694,2342.61756,11.39455782
Florida,US,25/04/2020 06:32,27.7663,-81.6868,30533,1046,0,29487,143.8024141,319038,5009,3.425801592,1502.585222,16.40520093
Georgia,US,25/04/2020 06:32,33.0406,-83.6431,22491,899,0,21592,221.8180122,107520,4322,3.997154417,1060.418508,19.21657552
Guam,US,25/04/2020 06:32,13.4443,144.7937,141,5,126,10,85.85572585,1374,2,3.546099291,836.6366476,1.418439716
Hawaii,US,25/04/2020 06:32,21.0943,-157.4983,601,13,463,125,42.44991828,28040,67,2.163061564,1980.525305,11.14808652
Idaho,US,25/04/2020 06:32,44.2405,-114.4788,1870,54,867,949,116.1132247,19361,168,2.887700535,1202.175478,8.983957219
Illinois,US,25/04/2020 06:32,40.3495,-88.9861,39658,1795,0,37863,337.9275103,189632,4828,4.526199001,1615.862364,12.17408846
Indiana,US,25/04/2020 06:32,39.8494,-86.2583,13681,741,0,12940,209.0619276,75553,0,5.41627074,1154.539567,0
Iowa,US,25/04/2020 06:32,42.0115,-93.2105,4445,107,1604,2734,169.6103312,31973,278,2.4071991,1220.011501,6.254218223
Kansas,US,25/04/2020 06:32,38.5266,-96.7265,2959,118,0,2841,121.3456863,23588,457,3.987833728,967.3207332,15.44440689
Kentucky,US,25/04/2020 06:32,37.6681,-84.6701,3779,200,1341,2238,110.3904621,44962,1143,5.292405398,1313.409885,30.24609685
Louisiana,US,25/04/2020 06:32,31.1695,-91.8678,26140,1660,14927,9553,568.598815,143716,1697,6.350420811,3126.118872,6.491966335
Maine,US,25/04/2020 06:32,44.6939,-69.3819,965,47,499,419,82.1971949,17749,152,4.870466321,1511.832137,15.75129534
Maryland,US,25/04/2020 06:32,39.0639,-76.8021,16616,798,1108,14710,279.5736737,84716,3618,4.802599904,1425.395001,21.77419355
Massachusetts,US,25/04/2020 06:32,42.2302,-71.5301,50969,2556,0,48413,742.5800274,215213,4752,5.014812926,3135.49168,9.323314171
Michigan,US,25/04/2020 06:32,43.3266,-84.5361,36641,3085,3237,30319,459.8946765,136296,3022,8.419530035,1710.701259,8.247591496
Minnesota,US,25/04/2020 06:32,45.6945,-93.9002,3185,221,1594,1370,64.38966482,53787,756,6.93877551,1087.386782,23.73626374
Mississippi,US,25/04/2020 06:32,32.7416,-89.6787,5434,209,0,5225,187.6895806,55670,970,3.846153846,1922.833816,17.85057048
Missouri,US,25/04/2020 06:32,38.4561,-92.2884,6788,272,0,6516,115.8469319,67017,877,4.007071302,1143.740989,12.91985857
Montana,US,25/04/2020 06:32,46.9219,-110.4544,444,14,325,105,51.27097751,12127,59,3.153153153,1400.367442,13.28828829
Nebraska,US,25/04/2020 06:32,41.1254,-98.2681,2424,50,0,2374,158.9224742,19973,0,2.062706271,1309.47136,0
Nevada,US,25/04/2020 06:32,38.3135,-117.0554,4398,197,0,4201,145.7885893,36192,0,4.479308777,1199.722743,0
New Hampshire,US,25/04/2020 06:32,43.4525,-71.5639,1720,53,578,1089,129.5036397,17727,224,3.081395349,1334.715709,13.02325581
New Jersey,US,25/04/2020 06:32,40.2989,-74.521,102196,5683,0,96513,1150.5721,205962,6847,5.560883009,2318.820021,6.699870836
New Mexico,US,25/04/2020 06:32,34.8405,-106.2485,2521,84,614,1823,151.1814159,51510,412,3.332011107,3088.994341,16.34272114
New York,US,25/04/2020 06:32,42.1657,-74.9481,271590,21411,23887,226292,1610.756167,730656,57103,7.883574506,4333.402032,21.02544276
North Carolina,US,25/04/2020 06:32,35.6301,-79.8064,8290,294,0,7996,83.58645375,100584,477,3.546441496,1014.168862,5.753920386
North Dakota,US,25/04/2020 06:32,47.5289,-99.784,748,15,285,448,123.3472621,17449,67,2.005347594,2877.388204,8.957219251
Northern Mariana Islands,US,25/04/2020 06:32,15.0979,145.6739,14,2,11,1,25.38807486,65,0,14.28571429,117.8732047,0
Ohio,US,25/04/2020 06:32,40.3888,-82.7649,15169,690,0,14479,135.7543409,107109,3053,4.548750742,958.5675854,20.12657393
Oklahoma,US,25/04/2020 06:32,35.5653,-96.9289,3121,188,1961,972,85.32838441,53012,637,6.023710349,1449.352232,20.41012496
Oregon,US,25/04/2020 06:32,44.572,-122.0709,2177,86,0,2091,54.32891931,45492,520,3.950390446,1135.292236,23.88608176
Pennsylvania,US,25/04/2020 06:32,40.5908,-77.2098,40208,1747,0,38461,319.4280801,186143,2746,4.344906486,1478.792805,6.829486669
Puerto Rico,US,25/04/2020 06:32,18.2208,-66.5901,1276,77,0,1199,43.49889276,10589,0,6.034482759,360.9794478,0
Rhode Island,US,25/04/2020 06:32,41.6809,-71.5118,6699,202,377,6120,632.3623392,47257,576,3.015375429,4460.89671,8.598298253
South Carolina,US,25/04/2020 06:32,33.8569,-80.945,5070,157,3701,1212,100.5957371,46996,944,3.096646943,932.4649428,18.61932939
South Dakota,US,25/04/2020 06:32,44.2998,-99.4388,2040,10,1190,840,277.2145913,14824,124,0.490196078,2014.42603,6.078431373
Tennessee,US,25/04/2020 06:32,35.7478,-86.6923,8728,169,4370,4189,132.9488864,131328,808,1.936296975,2000.448139,9.25756187
Texas,US,25/04/2020 06:32,31.0545,-97.5635,23642,624,9156,13862,102.8603505,242547,1674,2.639370612,1055.260529,7.080619237
Utah,US,25/04/2020 06:32,40.15,-111.8624,3782,39,1252,2491,131.9663545,84697,315,1.031200423,2955.355454,8.328926494
Vermont,US,25/04/2020 06:32,44.0459,-72.7107,827,44,1710,-927,135.4425466,14310,32,5.320435308,2343.631007,3.869407497
Virgin Islands,US,25/04/2020 06:32,18.3358,-64.8963,54,3,50,1,50.34120148,696,0,5.555555556,648.8421524,0
Virginia,US,25/04/2020 06:32,37.7693,-78.17,11594,411,1672,9511,146.6253037,69440,1837,3.544937036,878.183637,15.84440228
Washington,US,25/04/2020 06:32,47.4009,-121.4905,12977,722,0,12255,171.8943869,160324,455,5.563689605,2123.664613,3.506203283
West Virginia,US,25/04/2020 06:32,38.4912,-80.9545,1010,32,439,539,76.34176318,29811,97,3.168316832,2253.291388,9.603960396
Wisconsin,US,25/04/2020 06:32,44.2685,-89.6165,5356,263,0,5093,103.5061651,59929,1353,4.910380881,1158.144318,25.2613891
Wyoming,US,25/04/2020 06:32,42.756,-107.3025,473,7,321,145,95.1250905,8045,54,1.479915433,1617.930979,11.41649049
